Token,Name,Sector,Date,Round,Total Funding,Valuation,Price,MC,FDV,Exchange,Description
,Farcaster,,"Jul 13, 2022",Seed,$ 30 M,--,,,,,Decentralized social network
,EyesFi,,"Jun 24, 2022",--,$ 2 M,--,,,,,Generative arts-focused NFT discovery platform
,Geode Finance,,"Jun 10, 2022",Seed,$ 3 M,--,,,,,Multichain Staking Universe
,Delphia,,"Jun 08, 2022",Series A,$ 60 M,--,,,,,Mobile-investment platform
CLUB,Seed Club,,"May 18, 2022",Strategic,$ 15 M,--,,,,,The Leading Network for DAO Builders & Operators
,Community Gaming,,"Apr 07, 2022",Series A,$ 16 M,--,,,,,All-in-one esports competition platform
,Strata,,"Apr 06, 2022",Seed,$ 1.5 M,--,,,,,Token launch and management protocol
HONEY,HivemapperHONEY,,"Apr 05, 2022",--,$ 18 M,--,,,,,
,Fractal,,"Apr 02, 2022",Seed,$ 35 M,--,,,,,NFT Game Market
ZRO,LayerZero,,"Mar 30, 2022",Series A1,$ 135 M,$ 1 B,,,,,Omnichain Interoperability Protocol
,Coinbooks,,"Mar 18, 2022",--,$ 3.2 M,--,,,,,Enterprise-grade accounting software for digital assets
,Oxio,,"Mar 16, 2022",Series B,$ 40 M,--,,,,,Telecom-as-a-service (TAAS) platform
APT,Aptos,,"Mar 15, 2022",Strategic,$ 200 M,--,,,,,
OOE,OpenOcean,,"Mar 09, 2022",Private,$ 2 M,--,,,,,DeFi and CeFi full aggregator
,Dialect,,"Mar 02, 2022",Seed,$ 4.1 M,--,,,,,Messaging protocol for dapp notifications and wallet-to-wallet chat
,Marginfi,,"Feb 23, 2022",--,$ 3 M,--,,,,,Decentralized portfolio margining protocol
,Catalog,,"Feb 23, 2022",--,$ 7.5 M,--,,,,,Bridge-less cross-chain protocol
FLT,FluenceFLT,,"Feb 17, 2022",Series A,$ 9 M,--,,,,,
,Ceramic Network,,"Feb 16, 2022",Series A,$ 30 M,--,,,,,The Composable Data Network
,Portals,,"Feb 11, 2022",Seed,$ 5 M,--,,,,,A browser-based metaverse
,Dune,,"Feb 02, 2022",Series B,$ 69.42 M,$ 1 B,,,,,Data platform for the open web
,FTX US,,"Jan 26, 2022",Series A,$ 400 M,$ 8 B,,,,,US-regulated cryptocurrency exchange
GAL,GalxeGAL,,"Jan 25, 2022",--,$ 10 M,--,,,,,
,01 Exchange,,"Jan 21, 2022",Seed,$ 2.2 M,--,,,,,Decentralized derivatives protocol
MPLX,MetaplexMPLX,,"Jan 18, 2022",Strategic,$ 46 M,--,,,,,
,Burnt (XION),,"Jan 17, 2022",Series A,$ 8 M,--,,,,,
,Web3Auth,,"Jan 12, 2022",Series A,$ 13 M,--,,,,,Pluggable auth infrastructure
,Exotic markets,,"Jan 05, 2022",--,$ 5 M,--,,,,,Positional market created around an open ended market question
RNDR,RenderRNDR,,"Dec 21, 2021",Strategic,$ 30 M,--,,,,,
,Solscan,,"Dec 16, 2021",Seed,$ 4 M,$ 15 M,,,,,Solana blockchain explorer
,BetDEX,,"Nov 17, 2021",Seed,$ 21 M,$ 110 M,,,,,Sports betting exchange
CYBER,Cyber,,"Nov 16, 2021",Seed,$ 10 M,$ 50 M,,,,,The L2 for Social
BETA,Beta Finance,,"Oct 29, 2021",Private,$ 5.75 M,--,,,,,Money market protocol
,Squads,,"Oct 28, 2021",Seed,$ 5 M,--,,,,,
DRIFT,DriftDRIFT,,"Oct 26, 2021",Seed,$ 3.8 M,--,,,,,
SWIV,Swivel Finance,,"Oct 26, 2021",Strategic,$ 3.5 M,--,,,,,Protocol for Fixed Rate Lending and Tokenized Cash Flow
,Timeswap,,"Oct 22, 2021",Seed,--,--,,,,,AMM-based decentralized money market protocol
RBX,RabbitXRBX,,"Oct 07, 2021",--,$ 8.5 M,$ 50 M,,,,,
ZRO,LayerZeroZRO,,"Sep 16, 2021",Series A,$ 6 M,$ 50 M,,,,,
HNT,HeliumHNT,,"Sep 13, 2021",Series C,$ 15 M,--,,,,,
,Eden Network,,"Sep 08, 2021",Seed,$ 17.4 M,--,,,,,Multi-chain infrastructure provider
UXP,UXDUXP,,"Sep 02, 2021",Seed,$ 3 M,$ 30 M,,,,,
ALI,Alethea AI,,"Aug 24, 2021",--,$ 16 M,--,,,,,Building an Intelligent Metaverse
,Dune,,"Aug 12, 2021",Series A,$ 8 M,--,,,,,
HNT,Helium,,"Aug 10, 2021",--,$ 111 M,--,,,,,Decentralized network of wireless Hotspots
SBR,Saber,,"Jul 27, 2021",Seed,$ 7.7 M,$ 50 M,,,,,Automated market maker for trading assets on Solana
FTT,FTX,,"Jul 20, 2021",Series B,$ 900 M,$ 18 B,,,,,Cryptocurrency exchange
,Superfluid,,"Jul 13, 2021",Seed,$ 9 M,--,,,,,
,Superfluid,,"Jul 13, 2021",Seed,$ 9 M,--,,,,,
MNGO,Mango,,"Jul 11, 2021",IDO,$ 70 M,--,,,,,DeFi lending protocol
BETA,Beta Finance,,"Jul 09, 2021",Strategic,--,--,,,,,
WLD,Worldcoin,,"Jun 30, 2021",--,$ 25 M,$ 1 B,,,,,Inclusive cryptocurrency network
SOL,Solana,,"Jun 09, 2021",--,$ 314 M,--,,,,,High performance underlying blockchain
,Qilin Protocol,,"May 25, 2021",Pre-Seed,$ 0.8 M,--,,,,,Permissionless derivatives trading for any assets
,Qilin Protocol,,"May 25, 2021",Pre-Seed,$ 0.8 M,--,,,,,
ALD,AladdinDAO,,"May 25, 2021",--,--,--,,,,,Decentralized investment network
MCB,MUX Protocol,,"May 21, 2021",--,$ 7 M,--,,,,,Decentralized leveraged trading protocol
,Tibles,,"May 20, 2021",Seed,$ 1.14 M,--,,,,,Digital collecting ecosystem
GAL,Galxe,,"May 13, 2021",Seed,--,--,,,,,Web3 credential data network
,Jenny,,"May 12, 2021",--,$ 7 M,--,,,,,Metaverse DAO and social token on Unicly
,Burnt (XION),,"May 06, 2021",Seed,$ 3 M,--,,,,,
,Filebase,,"Apr 30, 2021",Seed,$ 2 M,--,,,,,Object storage platform powered by decentralized storage networks
REAL,REALYREAL,,"Apr 16, 2021",Seed,--,--,,,,,
C98,Coin98 FinanceC98,,"Apr 14, 2021",Seed,$ 1.25 M,$ 25 M,,,,,
,Enso,,"Apr 13, 2021",Private,$ 5 M,--,,,,,Universal DeFi dashboard
SOMM,Sommelier,,"Mar 10, 2021",--,$ 3.5 M,--,,,,,Coprocessor for Ethereum
SFI,Saffron Finance,,"Mar 08, 2021",--,$ Millions,--,,,,,Decentralised risk exchange protocol
OXY,Oxygen,,"Feb 24, 2021",--,$ 40 M,--,,,,,DeFi prime brokerage service
MANTA,Manta Network,,"Feb 02, 2021",--,$ 1.1 M,--,,,,,Multi-modular ecosystem for ZK applications
COMBO,Furucombo,,"Jan 07, 2021",Seed,$ 1.85 M,$ 9.5 M,,,,,DeFi portal to help users optimzie DeFi strategy
SWIV,Swivel FinanceSWIV,,"Dec 10, 2020",Seed,$ 1.15 M,--,,,,,
,Oxio,,"Nov 17, 2020",Series A,$ 12 M,--,,,,,
MATH,MathWallet,,"Oct 13, 2020",Series A1,$ 7.8 M,--,,,,,The Multichain Wallet for Web3
ALPHA,Stella,,"Oct 06, 2020",--,$ 1.67 M,$ 12.5 M,,,,,One-stop site for builders to start Web3 projects
BTRST,Braintrust,,"Oct 02, 2020",--,$ 18 M,--,,,,,Decentralized Talent Network
,Dune,,"Sep 23, 2020",Seed,$ 2 M,--,,,,,
PERP,Perpetual ProtocolPERP,,"Aug 25, 2020",--,$ 1.8 M,$ 12 M,,,,,
AUDIO,AudiusAUDIO,,"Jul 31, 2020",Strategic,$ 3.1 M,--,,,,,
SRM,Serum,,"Jul 30, 2020",Private,$ 20 M,--,,,,,Decentralized Exchange built on Solana
GRT,The Graph,,"Jun 30, 2020",Series A,$ 5 M,$ 29.4 M,,,,,Decentralized protocol for indexing and querying blockchain data
DF,dForceDF,,"Apr 15, 2020",--,$ 1.5 M,--,,,,,
AR,Arweave,,"Nov 05, 2019",--,$ 5 M,--,,,,,Decentralized Data Storage Protocol
CKB,Nervos Network,,"Oct 24, 2019",Public Sale,$ 72 M,--,,,,,Layer1 public chain ecosystem based on PoW consensus
,Oxio,,"Oct, 2019",Seed,$ 3.5 M,--,,,,,
SKL,SKALE,,"Oct 01, 2019",--,$ 17.1 M,--,,,,,"Ethereum native, modular blockchain network"
SOL,SolanaSOL,,"Jul 30, 2019",Series A,$ 20 M,--,,,,,
,Tableland,,"Jul 11, 2019",Seed,$ 1.5 M,--,,,,,
NEAR,NEAR Protocol,,"Jul 10, 2019",--,$ 12.1 M,--,,,,,Layer-one blockchain
,Web3Auth,,"Jul 09, 2019",--,$ 2 M,--,,,,,
,StreamingFast,,"Jun 26, 2019",Seed,$ 3.5 M,--,,,,,Building massively scalable architecture for streaming blockchain data
,Spring Labs,,"Jun 12, 2019",Series A,$ 23 M,--,,,,,Financial technology company
,Tagomi,,"Mar 05, 2019",--,$ 12 M,--,,,,,Crypto prime brokerage platform
GRT,The GraphGRT,,"Jan 28, 2019",Seed,$ 2.5 M,$ 14.7 M,,,,,
STRK,StarkNet,,"Oct 29, 2018",Series A,$ 30 M,--,,,,,decentralized ZK-Rollup
ALGO,Algorand,,"Oct 24, 2018",--,$ 62 M,--,,,,,Decentralized blockchain infrastructure
SKL,SKALESKL,,"Oct 04, 2018",--,$ 9.65 M,--,,,,,
ICP,Internet Computer / Dfinity,,"Aug 28, 2018",--,$ 102 M,$ 2 B,,,,,Open-source blockchain network
CKB,Nervos Network,,"Jul 18, 2018",Series A,$ 28 M,--,,,,,
,Tari,,"May 13, 2018",--,--,--,,,,,Digital assets focused blockchain protocol
SOL,Solana,,"May, 2018",Seed,--,--,,,,,
KDA,Kadena,,"Apr 12, 2018",Series B,$ 12 M,--,,,,,Layer1 Blockchain with PoW as the consensus
,Spring Labs,,"Mar 27, 2018",Seed,$ 14.75 M,--,,,,,
KDA,Kadena,,"Jan 31, 2018",Pre-A,$ 2.25 M,--,,,,,
ICP,Internet Computer / Dfinity,,"Jan, 2018",Strategic,$ 20.54 M,--,,,,,
,Lido,,,,,,,,,,Liquid staking solution
,Frax,,,,,,,,,,Stablecoin Protocol
,Paxos,,,,,,,,,,Regulated blockchain infrastructure
,THORChain,,,,,,,,,,Decentralized Liquidity Network
,Bakkt,,,,,,,,,,Digital asset platform
,Drift,,,,,,,,,,"Decentralized, fully on-chain perpetual contracts exchange based on Solana"
,Jito,,,,,,,,,,MEV infrastructure for Solana
,Mina,,,,,,,,,,Lightweight Blockchain
,Livepeer,,,,,,,,,,Decentralized video streaming network
,Render,,,,,,,,,,Rendering solution provider based on decentralized GPU
,Audius,,,,,,,,,,Decentralized music streaming protocol
,REALY,,,,,,,,,,Live-to-Earn metaverse on Solana
,dForce,,,,,,,,,,A complete set of decentralized finance protocols
,Coin98 Finance,,,,,,,,,,All In One DeFi Platform
,DFlow,,,,,,,,,,Decentralized order flow marketplace
,Hubble Protocol,,,,,,,,,,Solana borrowing and lending marketplace
,Genies,,,,,,,,,,Avatar technology company
,Hivemapper,,,,,,,,,,Map Internet of Things (IoT) Platform
,Fluence,,,,,,,,,,Web3 native computing platform
,Metaplex,,,,,,,,,,Solana-based NFT infrastructure
,RabbitX,,,,,,,,,,Decentralised Perpetuals Trading on StarkNet
,UXD,,,,,,,,,,An anti-inflation protocol
,MobileCoin,,,,,,,,,,A private cryptocurrency
,Flow,,,,,,,,,,"Decentralized, and developer-friendly blockchain"
,Perpetual Protocol,,,,,,,,,,Decentralized perpetual contract protocol
,Fluidity,,,,,,,,,,Yield farming protocol
,FanTiger,,,,,,,,,,Music NFT Marketplace
,Cabin,,,,,,,,,,An emerging network city for solarpunk builders
,Salad Ventures,,,,,,,,,,P2E ecosystem catalyst and builders
,Keep Network,,,,,,,,,,Privacy-centric public chain infrastructure
,Grapes Finance,,,,,,,,,,Payments infrastructure powered by digital currencies
,dClimate,,,,,,,,,,Decentralized Network for Climate Data
,The Giving Block,,,,,,,,,,Fundraising Agreements Serving Nonprofits
,hawku,,,,,,,,,,Marketplace for utility and gaming NFTs
,Babel Finance,,,,,,,,,,Cryptocurrency financial institution
