Token,Name,Sector,Date,Round,Total Funding,Valuation,Price,MC,FDV,Exchange,Description
,Mountain Protocol,,Jun 06,Series A,$ 8 M,--,,,,,Stablecoin Protocol
,El Dorado,,May 29,Seed,$ 3 M,--,,,,,Peer-to-peer cryptocurrency wallet
,Arch Network,,May 09,Seed,$ 7 M,--,,,,,Bitcoin-Native Application Platform
,BAXUS,,May 01,Seed,$ 5 M,--,,,,,Blockchain wine trading marketplace
,Mezo,,Apr 09,Series A,$ 21 M,--,,,,,Bitcoin Economic Layer
,Burnt (XION),,Apr 01,--,$ 25 M,--,,,,,Modular Generalized Abstraction layer
,Zama,,Mar 07,Series A,$ 73 M,--,,,,,Open Source Cryptographic Tools
IO,io.net,,Mar 05,Series A,$ 30 M,$ 1 B,,,,,Decentralized computation network
,Superfluid,,Feb 22,Strategic,$ 5.1 M,--,,,,,Stream payments protocol
,GLIF,,Feb 06,Seed,$ 4.5 M,--,,,,,Filecoin’s premier staking protocol
PYTH,Pyth Network,,"Dec 05, 2023",--,--,--,,,,,Oracle Solution
W,Wormhole,,"Nov 29, 2023",--,$ 225 M,$ 2.5 B,,,,,Web3 Universal Messaging Protocol
,Squads,,"Oct 16, 2023",Strategic,$ 5.7 M,--,,,,,Smart account standard for SVM
,Fhenix,,"Sep 26, 2023",Seed,$ 7 M,--,,,,,Blockchain powered by homomorphic encryption
,Circuit Trading,,"Aug 22, 2023",--,--,--,,,,,"Decentralised, multi-chain market maker"
,FastLane,,"May 23, 2023",Seed,$ 2.3 M,--,,,,,Hybrid MEV protocol
,Tableland,,"Apr 20, 2023",--,$ 8 M,--,,,,,Decentralized protocol for structured relational data
SEI,Sei Network,,"Apr 11, 2023",Strategic,$ 30 M,$ 800 M,,,,,Layer 1 blockchain for digital assets exchange
,Lore,,"Apr 06, 2023",Strategic,$ 4 M,--,,,,,The Co-Ownership Platform
,TipLink,,"Feb 21, 2023",Seed,$ 6 M,--,,,,,Lightweight wallet
,sec3,,"Jan 31, 2023",Seed,$ 10 M,--,,,,,Web3 Security research firm
,Heroic Story,,"Nov 17, 2022",Seed,$ 6 M,--,,,,,Web3 gaming and entertainment studio
FLY,Fluidity,,"Nov 01, 2022",Seed,$ 1.3 M,--,,,,,Yield farming protocol
,Mercury,,"Oct 20, 2022",--,$ 7.5 M,--,,,,,Fan engagement company for collegiate sports programs
,Spindl,,"Oct 20, 2022",Seed,$ 7 M,--,,,,,Measurement and attribution in Web3
,Blackbird,,"Oct 06, 2022",Seed,$ 11 M,--,,,,,Web3 loyalty and payments company
,Backpack,,"Sep 28, 2022",Strategic,$ 20 M,--,,,,,Cryptocurrency exchange and multi-chain wallet
HBB,Hubble Protocol,,"Sep 08, 2022",Strategic,$ 5 M,--,,,,,Solana borrowing and lending marketplace
SEI,Sei Network,,"Aug 31, 2022",Seed,$ 5 M,--,,,,,
,Clockwork,,"Aug 30, 2022",Seed,$ 4 M,--,,,,,Decentralized automation network for Solana
,Satellite IM,,"Aug 11, 2022",Seed,$ 10.5 M,--,,,,,Decentralized communications platform
JTO,Jito,,"Aug 11, 2022",Series A,$ 10 M,--,,,,,MEV infrastructure for Solana
APT,Aptos,,"Jul 25, 2022",Series A,$ 150 M,$ 2.75 B,,,,,Scalable layer 1 blockchain
